node,degree,betweenness,eigenvector
223_am,0.017241379310344827,0.0,0.08711135935450037
_usagi_the_megami_,0.017241379310344827,0.0,0.05986601621132188
animal_crossing,0.017241379310344827,0.0,0.026217519791159945
apex_legends,0.017241379310344827,0.0,0.08711135935450037
beyond_the_stage,0.034482758620689655,0.0,0.13074151543696752
bloom,0.034482758620689655,0.0,0.13074151543696752
botan,0.0,0.0,0.0
bouquet,0.017241379310344827,0.0,0.06016827416901931
fbkbp2019,0.034482758620689655,0.0,0.15798685858014602
fortnite_battle_royale,0.017241379310344827,0.0,0.08711135935450037
fubuki,0.0,0.0,0.0
game,0.017241379310344827,0.0,0.018910482485360283
gegege_no_kitaro_snes_game,0.0,0.0,0.0
hakui_koyori,0.017241379310344827,0.0,0.06016827416901931
holo27_originals_vol1,0.017241379310344827,0.0,0.015013466881477765
hololive,0.15517241379310345,0.13974591651542653,0.38561846191027904
hololive_gamers,0.017241379310344827,0.0,0.015013466881477765
hololive_summer_2022,0.017241379310344827,0.0,0.015013466881477765
howling,0.017241379310344827,0.0,0.06016827416901931
innk_music,0.034482758620689655,0.0,0.08104203940531071
inugami_korone,0.06896551724137931,0.05868118572292801,0.14264438328582715
kurokami,0.017241379310344827,0.0,0.08711135935450037
link_your_wish,0.0,0.0,0.0
marine,0.0,0.0,0.0
miko,0.0,0.0,0.0
minecraft,0.017241379310344827,0.0,0.06016827416901931
my_sparkle,0.017241379310344827,0.0,0.06016827416901931
nakiri_ayame,0.017241379310344827,0.0,0.06016827416901931
nekomata_okayu,0.1724137931034483,0.2211131276467029,0.08168065506748065
night_walk,0.017241379310344827,0.0,0.06016827416901931
nonstop_story,0.1206896551724138,0.17725347852389592,0.3380443658464241
ookami_mio,0.1896551724137931,0.21324863883847558,0.32735997333209094
our_sparkle,0.017241379310344827,0.0,0.07087549922564564
pekora,0.0,0.0,0.0
pekora_24,0.017241379310344827,0.0,0.05986601621132188
personya_respect,0.017241379310344827,0.0,0.015013466881477765
phasmophobia,0.017241379310344827,0.0,0.08711135935450037
poisonya_syndrome,0.017241379310344827,0.0,0.015013466881477765
sayファンファーレ,0.017241379310344827,0.0,0.08711135935450037
shiny_smily_story,0.05172413793103448,0.10889292196007261,0.16229310040499742
shirakami_cafe_music,0.017241379310344827,0.0,0.08711135935450037
shirakami_fubuki,0.3103448275862069,0.36721113127646704,0.4739488190586315
tenkyu_suisei_wa_yoru_o_koede,0.017241379310344827,0.0,0.018910482485360283
usada_pekora,0.20689655172413793,0.17422867513611617,0.32572123913803513
vtuber,0.10344827586206896,0.05868118572292801,0.10288854628733847
watame,0.0,0.0,0.0
yo_kai_watch_punipuni,0.05172413793103448,0.1258318209316395,0.16199084244730003
おかゆにゅむokayunyumu,0.017241379310344827,0.0,0.015013466881477765
ころねの最凶天災わんだふぉーわーるど,0.017241379310344827,0.0,0.026217519791159945
ぺこみこ大戦争,0.017241379310344827,0.0,0.05986601621132188
ぺこらんだむぶれいん,0.017241379310344827,0.0,0.05986601621132188
ぽいずにゃしんどろーむ,0.017241379310344827,0.0,0.015013466881477765
もぐもぐyummy,0.017241379310344827,0.0,0.015013466881477765
もっふもふ_de_よいのじゃよ_moffumoffu_de_yoi_no_ja_yo,0.017241379310344827,0.0,0.08711135935450037
クックパッドおすすめレシピ,0.017241379310344827,0.0,0.08711135935450037
幻想郷ホロイズム,0.017241379310344827,0.0,0.05986601621132188
幻想郷ホロイズム_gensokyoholoism,0.017241379310344827,0.0,0.08711135935450037
朝が来て,0.017241379310344827,0.0,0.08711135935450037
香りのやる気スイッチ,0.017241379310344827,0.0,0.08711135935450037
